Date,Time,Latitude,Longitude,Type,Depth,Magnitude,Timestamp,Magnitude Category,DistanceFromRef
12/25/1985,15:43:56,-23.982,-66.711,Earthquake,187.1,5.1,1985-12-25T15:43:56.000+05:30,Low,7652.850789509151
01/12/1986,20:14:53,34.151,69.544,Earthquake,24.6,11.1,1986-01-12T20:14:53.000+05:30,High,8138.198694651881
01/14/1986,03:03:37,36.341,71.024,Earthquake,245.1,6.7,1986-01-14T03:03:37.000+05:30,High,8319.107920060367
01/16/1986,05:08:32,5.936,126.074,Earthquake,83.3,7.7,1986-01-16T05:08:32.000+05:30,High,13993.93720183063
01/25/1986,04:49:42,-18.244,-177.691,Earthquake,634.3,5.1,1986-01-25T04:49:42.000+05:30,Low,17970.812331731646
01/27/1986,07:35:24,-10.4,161.135,Earthquake,82.2,5.3,1986-01-27T07:35:24.000+05:30,Low,17629.954535359797
01/27/1986,10:21:59,-23.676,-177.267,Earthquake,178.6,5.6,1986-01-27T10:21:59.000+05:30,Moderate,17365.957378769213
02/14/1986,18:01:18,-20.959,-178.945,Earthquake,610.1,5.4,1986-02-14T18:01:18.000+05:30,Low,17681.734501967843
02/24/1986,00:19:42,-16.882,174.318,Earthquake,10.7,6.3,1986-02-24T00:19:42.000+05:30,Moderate,18037.35827405719
03/01/1986,16:41:41,-6.3,130.949,Earthquake,79.5,7.6,1986-03-01T16:41:41.000+05:30,High,14527.554907505968
03/14/1986,08:42:15,43.995,147.627,Earthquake,82.0,5.8,1986-03-14T08:42:15.000+05:30,Moderate,14167.962964431974
03/19/1986,21:28:02,12.413,141.762,Earthquake,43.2,7.2,1986-03-19T21:28:02.000+05:30,High,15577.618554104263
03/22/1986,04:45:33,23.422,121.565,Earthquake,44.5,5.6,1986-03-22T04:45:33.000+05:30,Moderate,13199.63368002549
03/24/1986,02:01:29,28.541,130.009,Earthquake,26.2,9.8,1986-03-24T02:01:29.000+05:30,High,13831.196247567406
03/24/1986,19:31:39,-2.488,138.696,Earthquake,29.0,9.7,1986-03-24T19:31:39.000+05:30,High,15415.460416597534
03/26/1986,07:04:52,-34.022,-72.005,Earthquake,48.7,7.4,1986-03-26T07:04:52.000+05:30,High,8357.866015899002
03/28/1986,16:03:06,-5.956,149.604,Earthquake,87.8,5.1,1986-03-28T16:03:06.000+05:30,Low,16577.030024484975
04/16/1986,01:31:44,30.612,141.645,Earthquake,30.6,7.4,1986-04-16T01:31:44.000+05:30,High,14727.314469905628
04/23/1986,09:11:53,30.563,141.971,Earthquake,13.6,5.3,1986-04-23T09:11:53.000+05:30,Low,14756.474727216568
04/29/1986,08:17:59,30.766,141.508,Earthquake,38.1,6.9,1986-04-29T08:17:59.000+05:30,High,14707.031351554673
05/05/1986,05:46:37,18.156,-102.657,Earthquake,37.8,5.3,1986-05-05T05:46:37.000+05:30,Low,11343.790681637889
05/07/1986,23:25:26,36.374,70.712,Earthquake,222.8,6.7,1986-05-07T23:25:26.000+05:30,High,8292.480189815875
05/09/1986,16:23:49,-17.121,-65.589,Earthquake,12.6,5.2,1986-05-09T16:23:49.000+05:30,Low,7420.728455742446
05/19/1986,20:54:04,-12.629,167.227,Earthquake,51.8,8.2,1986-05-19T20:54:04.000+05:30,High,18026.028732949286
05/20/1986,05:37:31,24.054,121.594,Earthquake,31.3,5.4,1986-05-20T05:37:31.000+05:30,Low,13185.618338437565
05/20/1986,21:57:06,-7.305,106.492,Earthquake,60.9,7.1,1986-05-20T21:57:06.000+05:30,High,11826.065505396775
05/22/1986,19:52:22,34.63,26.528,Earthquake,43.0,5.2,1986-05-22T19:52:22.000+05:30,Low,4735.8662679081
05/27/1986,07:58:40,-2.825,119.727,Earthquake,35.7,7.8,1986-05-27T07:58:40.000+05:30,High,13308.614484626241
05/30/1986,08:02:40,-10.931,162.412,Earthquake,61.4,6.1,1986-05-30T08:02:40.000+05:30,Moderate,17722.64060066965
06/11/1986,06:18:18,-15.449,-179.227,Earthquake,17.8,9.6,1986-06-11T06:18:18.000+05:30,High,18295.139637386997
06/14/1986,23:29:23,-19.096,169.776,Earthquake,15.7,7.9,1986-06-14T23:29:23.000+05:30,High,17616.57348266472
